run_dir,date_dir,scenario_guess,log_files_top_level,csv_files_recursive,png_files_recursive,avg_prr,avg_latency_ms,incident_applied_count,sionna_mentioned,in_chatgpt_exports,eva_drop_phy_total,eva_cam_drop_phy,eva_cpm_drop_phy,eva_ctrl_events_total,eva_drop_decision_match_ratio
/home/afetz/work/clean/NEWWAY/analysis/scenario_runs/2026-02-20/eva-sionna-incident-sweep-004530,2026-02-20,sionna_server,1,0,0,,,0,0,0,,,,,
/home/afetz/work/clean/NEWWAY/analysis/scenario_runs/2026-02-20/eva-sionna-incident-sweep-005149,2026-02-20,sionna_server,1,0,0,,,0,0,0,,,,,
/home/afetz/work/clean/NEWWAY/analysis/scenario_runs/2026-02-20/eva-sionna-incident-sweep-155939,2026-02-20,sionna_server,1,0,0,,,0,0,0,,,,,
/home/afetz/work/clean/NEWWAY/analysis/scenario_runs/2026-02-20/eva-sionna-incident-sweep-161247,2026-02-20,sionna_server,1,0,0,,,0,0,0,,,,,
/home/afetz/work/clean/NEWWAY/analysis/scenario_runs/2026-02-20/eva-sionna-incident-sweep-162549,2026-02-20,sionna_server,1,40,0,,,0,0,0,,,,,
/home/afetz/work/clean/NEWWAY/analysis/scenario_runs/2026-02-20/eva-sionna-incident-sweep-163933,2026-02-20,sionna_server,1,16,2,,,0,0,0,,,,,
/home/afetz/work/clean/NEWWAY/analysis/scenario_runs/2026-02-20/eva-sionna-incident-sweep-164102,2026-02-20,sionna_server,1,44,5,,,0,0,0,,,,,
/home/afetz/work/clean/NEWWAY/analysis/scenario_runs/2026-02-20/eva-sionna-incident-sweep-main-002230,2026-02-20,"launcher,sionna_server",2,0,0,,,0,1,0,,,,,
/home/afetz/work/clean/NEWWAY/analysis/scenario_runs/2026-02-20/eva-sionna-incident-sweep-main-002536,2026-02-20,"launcher,sionna_server",2,0,0,,,0,1,0,,,,,
/home/afetz/work/clean/NEWWAY/analysis/scenario_runs/2026-02-20/eva-sionna-incident-sweep-mainroot-002914,2026-02-20,"launcher,sionna_server",2,0,0,,,0,1,0,,,,,
/home/afetz/work/clean/NEWWAY/analysis/scenario_runs/2026-02-20/eva-stop-applied-check-231504,2026-02-20,sionna_server,1,43,2,,,0,0,0,,,,,
/home/afetz/work/clean/NEWWAY/analysis/scenario_runs/2026-02-20/eva-stop-applied-check-non-232054,2026-02-20,v2v-emergencyVehicleAlert-nrv2x,1,41,1,0.95292,12.035,1,0,0,0.0,0.0,0.0,0.0,
/home/afetz/work/clean/NEWWAY/analysis/scenario_runs/chatgpt_exports/2026-02-20/eva-non-sionna-then-sionna-gpu-184930,2026-02-20,sionna_server,1,7,3,,,0,0,1,,,,,
/home/afetz/work/clean/NEWWAY/analysis/scenario_runs/chatgpt_exports/2026-02-20/eva-non-sionna-then-sionna-gpu-191658,2026-02-20,sionna_server,1,7,3,,,0,0,1,,,,,
/home/afetz/work/clean/NEWWAY/analysis/scenario_runs/chatgpt_exports/2026-02-20/eva-short-non-sionna-tx23-223037,2026-02-20,v2v-emergencyVehicleAlert-nrv2x,1,4,4,0.953742,12.089,1,0,1,,,,,
/home/afetz/work/clean/NEWWAY/analysis/scenario_runs/chatgpt_exports/2026-02-20/eva-short-non-sionna-tx23-223346,2026-02-20,v2v-emergencyVehicleAlert-nrv2x,1,4,4,0.953742,12.089,1,0,1,,,,,
/home/afetz/work/clean/NEWWAY/analysis/scenario_runs/chatgpt_exports/2026-02-20/eva-short-sionna-gpu-only-tx23-223620,2026-02-20,sionna_server,1,6,5,,,0,0,1,,,,,
/home/afetz/work/clean/NEWWAY/analysis/scenario_runs/chatgpt_exports/2026-02-20/eva-short-sionna-gpu-only-tx23-223837,2026-02-20,sionna_server,1,15,17,,,0,0,1,,,,,
/home/afetz/work/clean/NEWWAY/analysis/scenario_runs/chatgpt_exports/2026-02-20/eva-sionna-incident-sweep-163933,2026-02-20,sionna_server,1,5,2,,,0,0,1,,,,,
/home/afetz/work/clean/NEWWAY/analysis/scenario_runs/chatgpt_exports/2026-02-20/eva-sionna-incident-sweep-164102,2026-02-20,sionna_server,1,6,5,,,0,0,1,,,,,
/home/afetz/work/clean/NEWWAY/analysis/scenario_runs/chatgpt_exports/2026-02-20/eva-stop-applied-check-231504,2026-02-20,sionna_server,1,5,2,,,0,0,1,,,,,
/home/afetz/work/clean/NEWWAY/analysis/scenario_runs/chatgpt_exports/2026-02-20/eva-stop-applied-check-non-232054,2026-02-20,v2v-emergencyVehicleAlert-nrv2x,1,3,1,0.95292,12.035,1,0,1,,,,,
